No;Date;Time;Timer;Mass;Unit;No2;Scale No;Status;Note
1;2024-01-31;2024-01-31 10:31:19 AM;0;104.0508;g;1;1;0; 
2;2024-01-31;2024-01-31 10:31:19 AM;0;104.0561;g;2;1;0; 
3;2024-01-31;2024-01-31 10:31:20 AM;1;104.0619;g;3;1;0; 
4;2024-01-31;2024-01-31 10:31:20 AM;1;104.0716;g;4;1;0; 
5;2024-01-31;2024-01-31 10:31:21 AM;2;104.1083;g;5;1;0; 
6;2024-01-31;2024-01-31 10:31:21 AM;2;104.1789;g;6;1;0; 
7;2024-01-31;2024-01-31 10:31:22 AM;3;104.3059;g;7;1;0; 
8;2024-01-31;2024-01-31 10:31:22 AM;3;104.4886;g;8;1;0; 
9;2024-01-31;2024-01-31 10:31:23 AM;4;104.7138;g;9;1;0; 
10;2024-01-31;2024-01-31 10:31:23 AM;4;105.0443;g;10;1;0; 
11;2024-01-31;2024-01-31 10:31:24 AM;5;105.2843;g;11;1;0; 
12;2024-01-31;2024-01-31 10:31:25 AM;6;105.5145;g;12;1;0; 
13;2024-01-31;2024-01-31 10:31:25 AM;6;105.7327;g;13;1;0; 
14;2024-01-31;2024-01-31 10:31:25 AM;6;105.9462;g;14;1;0; 
15;2024-01-31;2024-01-31 10:31:26 AM;7;106.1677;g;15;1;0; 
16;2024-01-31;2024-01-31 10:31:26 AM;7;106.4005;g;16;1;0; 
17;2024-01-31;2024-01-31 10:31:27 AM;8;106.6484;g;17;1;0; 
18;2024-01-31;2024-01-31 10:31:27 AM;8;106.9898;g;18;1;0; 
19;2024-01-31;2024-01-31 10:31:28 AM;9;107.2501;g;19;1;0; 
20;2024-01-31;2024-01-31 10:31:28 AM;9;107.5089;g;20;1;0; 
21;2024-01-31;2024-01-31 10:31:29 AM;10;107.7692;g;21;1;0; 
22;2024-01-31;2024-01-31 10:31:29 AM;10;108.0305;g;22;1;0; 
23;2024-01-31;2024-01-31 10:31:30 AM;11;108.2926;g;23;1;0; 
24;2024-01-31;2024-01-31 10:31:30 AM;11;108.5534;g;24;1;0; 
25;2024-01-31;2024-01-31 10:31:31 AM;12;108.8137;g;25;1;0; 
26;2024-01-31;2024-01-31 10:31:31 AM;12;109.166;g;26;1;0; 
27;2024-01-31;2024-01-31 10:31:32 AM;13;109.4274;g;27;1;0; 
28;2024-01-31;2024-01-31 10:31:33 AM;14;109.662;g;28;1;0; 
29;2024-01-31;2024-01-31 10:31:33 AM;14;109.8661;g;29;1;0; 
30;2024-01-31;2024-01-31 10:31:34 AM;15;110.0718;g;30;1;0; 
31;2024-01-31;2024-01-31 10:31:34 AM;15;110.2863;g;31;1;0; 
32;2024-01-31;2024-01-31 10:31:35 AM;16;110.5323;g;32;1;0; 
33;2024-01-31;2024-01-31 10:31:35 AM;16;110.9;g;33;1;0; 
34;2024-01-31;2024-01-31 10:31:35 AM;16;111.1701;g;34;1;0; 
35;2024-01-31;2024-01-31 10:31:36 AM;17;111.4375;g;35;1;0; 
36;2024-01-31;2024-01-31 10:31:36 AM;17;111.7035;g;36;1;0; 
37;2024-01-31;2024-01-31 10:31:37 AM;18;111.9697;g;37;1;0; 
38;2024-01-31;2024-01-31 10:31:38 AM;19;112.2355;g;38;1;0; 
