No;Date;Time;Timer;Mass;Unit;No2;Scale No;Status;Note
1;2024-01-31;2024-01-31 10:29:45 AM;0;103.8952;g;1;1;0; 
2;2024-01-31;2024-01-31 10:29:46 AM;1;103.9028;g;2;1;0; 
3;2024-01-31;2024-01-31 10:29:46 AM;1;103.9212;g;3;1;0; 
4;2024-01-31;2024-01-31 10:29:47 AM;2;103.9587;g;4;1;0; 
5;2024-01-31;2024-01-31 10:29:47 AM;2;104.0098;g;5;1;0; 
6;2024-01-31;2024-01-31 10:29:48 AM;3;104.1617;g;6;1;0; 
7;2024-01-31;2024-01-31 10:29:48 AM;3;104.3637;g;7;1;0; 
8;2024-01-31;2024-01-31 10:29:49 AM;4;104.632;g;8;1;0; 
9;2024-01-31;2024-01-31 10:29:49 AM;4;104.9368;g;9;1;0; 
10;2024-01-31;2024-01-31 10:29:50 AM;5;105.2233;g;10;1;0; 
11;2024-01-31;2024-01-31 10:29:50 AM;5;105.4944;g;11;1;0; 
12;2024-01-31;2024-01-31 10:29:51 AM;6;105.7718;g;12;1;0; 
13;2024-01-31;2024-01-31 10:29:51 AM;6;106.081;g;13;1;0; 
14;2024-01-31;2024-01-31 10:29:52 AM;7;106.5531;g;14;1;0; 
15;2024-01-31;2024-01-31 10:29:52 AM;7;106.9248;g;15;1;0; 
16;2024-01-31;2024-01-31 10:29:53 AM;8;107.3;g;16;1;0; 
17;2024-01-31;2024-01-31 10:29:53 AM;8;107.675;g;17;1;0; 
18;2024-01-31;2024-01-31 10:29:54 AM;9;108.0369;g;18;1;0; 
19;2024-01-31;2024-01-31 10:29:54 AM;9;108.3945;g;19;1;0; 
20;2024-01-31;2024-01-31 10:29:55 AM;10;108.748;g;20;1;0; 
21;2024-01-31;2024-01-31 10:29:55 AM;10;109.223;g;21;1;0; 
22;2024-01-31;2024-01-31 10:29:56 AM;11;109.5928;g;22;1;0; 
23;2024-01-31;2024-01-31 10:29:56 AM;11;109.9662;g;23;1;0; 
24;2024-01-31;2024-01-31 10:29:57 AM;12;110.341;g;24;1;0; 
25;2024-01-31;2024-01-31 10:29:57 AM;12;110.715;g;25;1;0; 
26;2024-01-31;2024-01-31 10:29:58 AM;13;111.0911;g;26;1;0; 
27;2024-01-31;2024-01-31 10:29:58 AM;13;111.473;g;27;1;0; 
28;2024-01-31;2024-01-31 10:29:59 AM;14;111.9867;g;28;1;0; 
29;2024-01-31;2024-01-31 10:29:59 AM;14;112.375;g;29;1;0; 
30;2024-01-31;2024-01-31 10:30:00 AM;15;112.7597;g;30;1;0; 
31;2024-01-31;2024-01-31 10:30:00 AM;15;113.142;g;31;1;0; 
32;2024-01-31;2024-01-31 10:30:01 AM;16;113.5255;g;32;1;0; 
33;2024-01-31;2024-01-31 10:30:01 AM;16;113.9096;g;33;1;0; 
34;2024-01-31;2024-01-31 10:30:02 AM;17;114.293;g;34;1;0; 
35;2024-01-31;2024-01-31 10:30:02 AM;17;114.8015;g;35;1;0; 
36;2024-01-31;2024-01-31 10:30:03 AM;18;115.1791;g;36;1;0; 
37;2024-01-31;2024-01-31 10:30:03 AM;18;115.5557;g;37;1;0; 
38;2024-01-31;2024-01-31 10:30:04 AM;19;115.9315;g;38;1;0; 
39;2024-01-31;2024-01-31 10:30:04 AM;19;116.3075;g;39;1;0; 
40;2024-01-31;2024-01-31 10:30:05 AM;20;116.6838;g;40;1;0; 
41;2024-01-31;2024-01-31 10:30:05 AM;20;117.06;g;41;1;0; 
42;2024-01-31;2024-01-31 10:30:06 AM;21;117.5627;g;42;1;0; 
43;2024-01-31;2024-01-31 10:30:06 AM;21;117.9423;g;43;1;0; 
44;2024-01-31;2024-01-31 10:30:07 AM;22;118.3237;g;44;1;0; 
45;2024-01-31;2024-01-31 10:30:07 AM;22;118.7043;g;45;1;0; 
46;2024-01-31;2024-01-31 10:30:08 AM;23;119.0826;g;46;1;0; 
47;2024-01-31;2024-01-31 10:30:08 AM;23;119.4596;g;47;1;0; 
48;2024-01-31;2024-01-31 10:30:09 AM;24;119.8352;g;48;1;0; 
49;2024-01-31;2024-01-31 10:30:09 AM;24;120.3377;g;49;1;0; 
50;2024-01-31;2024-01-31 10:30:10 AM;25;120.7162;g;50;1;0; 
51;2024-01-31;2024-01-31 10:30:10 AM;25;121.0943;g;51;1;0; 
52;2024-01-31;2024-01-31 10:30:11 AM;26;121.4732;g;52;1;0; 
53;2024-01-31;2024-01-31 10:30:11 AM;26;121.8424;g;53;1;0; 
54;2024-01-31;2024-01-31 10:30:12 AM;27;122.2028;g;54;1;0; 
55;2024-01-31;2024-01-31 10:30:12 AM;27;122.5603;g;55;1;0; 
56;2024-01-31;2024-01-31 10:30:13 AM;28;122.9171;g;56;1;0; 
57;2024-01-31;2024-01-31 10:30:13 AM;28;123.4076;g;57;1;0; 
58;2024-01-31;2024-01-31 10:30:14 AM;29;123.7825;g;58;1;0; 
59;2024-01-31;2024-01-31 10:30:14 AM;29;124.1577;g;59;1;0; 
60;2024-01-31;2024-01-31 10:30:15 AM;30;124.5319;g;60;1;0; 
61;2024-01-31;2024-01-31 10:30:15 AM;30;124.9059;g;61;1;0; 
62;2024-01-31;2024-01-31 10:30:16 AM;31;125.2871;g;62;1;0; 
63;2024-01-31;2024-01-31 10:30:16 AM;31;125.6698;g;63;1;0; 
64;2024-01-31;2024-01-31 10:30:17 AM;32;126.1175;g;64;1;0; 
