No;Date;Time;Timer;Mass;Unit;No2;Scale No;Status;Note
1;2024-01-29;2024-01-29 4:43:08 PM;0;40.2489;g;1;1;0; 
2;2024-01-29;2024-01-29 4:43:09 PM;1;40.2489;g;2;1;0; 
3;2024-01-29;2024-01-29 4:43:09 PM;1;40.2489;g;3;1;0; 
4;2024-01-29;2024-01-29 4:43:10 PM;2;40.2489;g;4;1;0; 
5;2024-01-29;2024-01-29 4:43:10 PM;2;40.2489;g;5;1;0; 
6;2024-01-29;2024-01-29 4:43:11 PM;3;40.2488;g;6;1;0; 
7;2024-01-29;2024-01-29 4:43:11 PM;3;40.2488;g;7;1;0; 
8;2024-01-29;2024-01-29 4:43:12 PM;4;40.2488;g;8;1;0; 
9;2024-01-29;2024-01-29 4:43:12 PM;4;40.2488;g;9;1;0; 
10;2024-01-29;2024-01-29 4:43:13 PM;5;40.2488;g;10;1;0; 
11;2024-01-29;2024-01-29 4:43:13 PM;5;40.2487;g;11;1;0; 
12;2024-01-29;2024-01-29 4:43:14 PM;6;40.2487;g;12;1;0; 
13;2024-01-29;2024-01-29 4:43:14 PM;6;40.2487;g;13;1;0; 
14;2024-01-29;2024-01-29 4:43:15 PM;7;40.2486;g;14;1;0; 
15;2024-01-29;2024-01-29 4:43:15 PM;7;40.2486;g;15;1;0; 
16;2024-01-29;2024-01-29 4:43:16 PM;8;40.2486;g;16;1;0; 
17;2024-01-29;2024-01-29 4:43:16 PM;8;40.2487;g;17;1;0; 
18;2024-01-29;2024-01-29 4:43:17 PM;9;40.2946;g;18;1;0; 
19;2024-01-29;2024-01-29 4:43:17 PM;9;40.5071;g;19;1;0; 
20;2024-01-29;2024-01-29 4:43:18 PM;10;40.7618;g;20;1;0; 
21;2024-01-29;2024-01-29 4:43:18 PM;10;41.099;g;21;1;0; 
22;2024-01-29;2024-01-29 4:43:19 PM;11;41.5222;g;22;1;0; 
23;2024-01-29;2024-01-29 4:43:19 PM;11;42.0191;g;23;1;0; 
24;2024-01-29;2024-01-29 4:43:20 PM;12;42.6144;g;24;1;0; 
25;2024-01-29;2024-01-29 4:43:20 PM;12;43.2983;g;25;1;0; 
26;2024-01-29;2024-01-29 4:43:21 PM;13;44.0054;g;26;1;0; 
27;2024-01-29;2024-01-29 4:43:21 PM;13;44.9468;g;27;1;0; 
28;2024-01-29;2024-01-29 4:43:22 PM;14;45.6535;g;28;1;0; 
29;2024-01-29;2024-01-29 4:43:22 PM;14;46.3599;g;29;1;0; 
30;2024-01-29;2024-01-29 4:43:23 PM;15;47.0744;g;30;1;0; 
31;2024-01-29;2024-01-29 4:43:23 PM;15;47.798;g;31;1;0; 
32;2024-01-29;2024-01-29 4:43:24 PM;16;48.5251;g;32;1;0; 
33;2024-01-29;2024-01-29 4:43:24 PM;16;49.2538;g;33;1;0; 
34;2024-01-29;2024-01-29 4:43:25 PM;17;49.9836;g;34;1;0; 
35;2024-01-29;2024-01-29 4:43:25 PM;17;50.9525;g;35;1;0; 
36;2024-01-29;2024-01-29 4:43:26 PM;18;51.6784;g;36;1;0; 
37;2024-01-29;2024-01-29 4:43:26 PM;18;52.4044;g;37;1;0; 
38;2024-01-29;2024-01-29 4:43:27 PM;19;53.1292;g;38;1;0; 
39;2024-01-29;2024-01-29 4:43:27 PM;19;53.8541;g;39;1;0; 
40;2024-01-29;2024-01-29 4:43:28 PM;20;54.5783;g;40;1;0; 
41;2024-01-29;2024-01-29 4:43:28 PM;20;55.3019;g;41;1;0; 
42;2024-01-29;2024-01-29 4:43:29 PM;21;56.0254;g;42;1;0; 
43;2024-01-29;2024-01-29 4:43:29 PM;21;56.9913;g;43;1;0; 
44;2024-01-29;2024-01-29 4:43:30 PM;22;57.7125;g;44;1;0; 
45;2024-01-29;2024-01-29 4:43:30 PM;22;58.4295;g;45;1;0; 
46;2024-01-29;2024-01-29 4:43:31 PM;23;59.1449;g;46;1;0; 
47;2024-01-29;2024-01-29 4:43:31 PM;23;59.8578;g;47;1;0; 
48;2024-01-29;2024-01-29 4:43:32 PM;24;60.5733;g;48;1;0; 
49;2024-01-29;2024-01-29 4:43:32 PM;24;61.2928;g;49;1;0; 
50;2024-01-29;2024-01-29 4:43:33 PM;25;62.0166;g;50;1;0; 
51;2024-01-29;2024-01-29 4:43:33 PM;25;62.9891;g;51;1;0; 
52;2024-01-29;2024-01-29 4:43:34 PM;26;63.7205;g;52;1;0; 
53;2024-01-29;2024-01-29 4:43:34 PM;26;64.4525;g;53;1;0; 
54;2024-01-29;2024-01-29 4:43:35 PM;27;65.1809;g;54;1;0; 
55;2024-01-29;2024-01-29 4:43:35 PM;27;65.9063;g;55;1;0; 
56;2024-01-29;2024-01-29 4:43:36 PM;28;66.632;g;56;1;0; 
57;2024-01-29;2024-01-29 4:43:36 PM;28;67.3582;g;57;1;0; 
